obloquy ['ɔbləkwi] n.大骂，公开斥责
presage ['presidʒ] n.(多指不祥的)预感；v.(不祥)预示
prescience ['pre'saiəns] n.预知，先见
prescribe [pris'kraib] v.(医)开处方；规定
prescription [pri'skripʃən] n.处方(上的药)
presentation [,prezen'teiʃən] n.介绍；描述
presenter [pri'zentə] n.主持人
preservative [pri'zə:vətiv] a.防腐的；n.防腐剂
preside [pri'zaid] v.担任主席；负责；指挥
press [pres] v.挤压
pressing ['presiŋ] a.紧迫的，迫切的；恳切要求的
prestige [pres'ti:ʒ] n.威信，威望，声望
prestigious [pres'ti:dʒəs] a.有名望的，有威信的
presume [pri'zju:m] v.假定，认定
presumption [pri'zʌmpʃən] n.冒昧，专横；假定
presupposition [,pri:sʌpə'ziʃ(ə)n] n.预先假定，臆测
pretend [pri'tend] v.假装；装扮(尤指儿童在游戏中)
pretension [pri:'tenʃən] n.自命不凡，狂妄
pretentious [pri'tenʃəs] a.自抬身价的，自命不凡的，狂妄的
preternatural [,pri:tə(:)'nætʃərəl] a.异常的；超自然的
pretext ['pri:tekst] n.借口
prevail [pri'veil] v.战胜，击败；盛行，普遍存在
prevaricate [pri'værikeit] v.支吾其词，搪塞，说谎
preview [pri:'vju:] v./n.(电影，戏剧，展览会)预演，预展
previous ['pri:vjəs] a.在先的，以前的
prey [prei] n.被捕食的动物
prim [prim] a.端庄的，整洁的
primate ['praimit] n.灵长类(动物)
prime [praim] n.全盛时期；a.最初的，原始的；首要的
primp [primp] v.（贬）(妇女)刻意打扮
principal ['prinsəp(ə)l] a.主要的，重要的
principle ['prinsəpl] n.原则，原理；道德准则
priority [prai'ɔriti] n.在先，居前；优先权
pristine ['pristain] a.远古的，太古的；纯洁的；新鲜的
privation [prai'veiʃən] n.生活必需品的匮乏、贫困
privilege ['privilidʒ] n.特权，特别利益
probe [prəub] v.探索，探测
probity ['prəubiti] n.刚直，正直
proboscis [prəu'bɔsis] n.(象)长鼻；(昆虫等)吸管
proceeds ['prəusi:dz] n.(从某种表演活动所得的)收入
procession [prə'seʃən] n.(人，车)行列，队伍；列队前进
proclaim [prə'kleim] v.宣告，宣布；表明，显示
proclamation [prɔklə'meiʃ(ə)n] n.宣布，公告
procrastinate [prəu'kræstineit] v.（贬）(习惯性地)耽搁，拖延
proctor ['prɔktə] n.学监
procure [prə'kjuə] v.取得，获得
procurement [prə'kjuəmənt] n.获得，接收
prod [prɔd] v.刺，捅；激励
prodigal ['prɔdiɡəl] a.挥霍的；n.挥霍者
prodigious [prə'didʒəs] a.(体积，数量，程度上)巨大的
prodigy ['prɔdidʒi] n.奇事，奇观(尤指自然现象)；奇才，天才
produce ['prɔdju:s] n.产品；农产品
productivity [,prɔdʌk'tiviti] n.生产力；生产率
profane [prə'fein] v.亵渎，玷污
proffer ['prɔfə] n./v.献出，提供；提议，建议
proficient [prə'fiʃənt] a.熟练的，精通的
profile ['prəufail] n.外形；(尤指人面部的)轮廓侧面像
profiteer [,prɔfi'tiə] n.奸商，牟取暴利者，大发不义之财者
profligate ['prɔfliɡit] a.挥金如土的；n.挥霍者
profound [prə'faund] a.深的，深刻的；渊博的，深奥的
profuse [prə'fju:s] a.很多的；浪费的
progeny ['prɔdʒini] n.后代，子女
prognosis [prɔɡ'nəusis] n.预后，对疾病的发作及结果的预言
prohibitive [prə'hibitiv] a.抑制的；价格贵得买不起的
projectile [prə'dʒektail] n.抛射物，发射体
projection [prə'dʒekʃən] n.凸出物
projector [prə'dʒektə] n.电影放映机，幻灯机
proliferate [prəu'lifəreit] v.迅速繁殖；激增
prolific [prə'lifik] a.多产的，多结果的
prolix ['prəuliks] a.(说话、写作)啰嗦的，冗长而乏味的
prolixity [prəu'liksəti] n.啰嗦
prologue ['prəulɔɡ] n.开场白；序幕，一系列事情的开端
prolong [prə'lɔŋ] v.延长，拉长
promenade [,prɔmi'nɑ:d] v./n.散步；开车兜风
prominent ['prɔminənt] a.显著的；著名的
promote [prə'məut] v.提升；促进
prompt [prɔmpt] v.促使，激起；a.敏捷的，迅速的
promulgate ['prɔməlɡeit] v.颁布(法令)；宣传，宣扬
prone [prəun] a.俯卧的；倾向于„的
pronounced [prə'naunst] a.(观点等)强硬的，明显的
prop [prɔp] n.支撑物；后盾，靠山；v.支持
propagate ['prɔpəɡeit] v.繁殖；传播
propagation [,prɔpə'ɡeiʃən] n.繁殖
propel [prə'pel] v.推进
propeller [prə'pelə] n.螺旋桨；推进器
propensity [prə'pensiti] n.嗜好，习性
prophecy ['prɔfisi] n.预言
prophet ['prɔfit] n.先知，预言家
prophetic [prə'fetik] a.先知的，预言的，预示的
propitiate [prə'piʃieit] v.讨好；抚慰
propitious [prə'piʃəs] a.吉利的；有利的
proposal [prə'pəuzəl] n.提案，建议
proposition [,prɔpə'ziʃən] n.看法；提议
proprietary [prə'praiətəri] a.私有的
propriety [prə'praiəti] n.礼节；适当
propulsion [prə'pʌlʃən] n.推进力
prosaic [prəu'zeiik] a.单调的，无趣的
proscribe [prəu'skraib] v.禁止
prose [prəuz] n.散文
prosecute ['prɔsikju:t] v.(法)告发，检举
prosecution [,prɔsi'kju:ʃən] n.起诉；实行，经营，从事
proselytize ['prɔsilitaiz] v.劝诱别人接受自己的信仰、宗教
prospect [prə'spekt, 'prɔspekt] v.勘探；n.有根据的期望；前景；景色，景观
prosperity [prɔs'periti] n.繁荣；幸运；健康
prosperous ['prɔspərəs] a.(尤指经济)繁荣富强的
prostrate [prɔs'treit] a.(尤指因精疲力竭而)俯卧的；无能为力的，沮丧的；v.使下跪鞠躬
protagonist [prəu'tæɡənist] n.提议者，领导者
protean ['prəutiən] a.变化多端的，多变的
protest [prə'test, 'prəutest] v./n.抗议，反对
protocol ['prəutəkɔl] n.外交礼节；(外交协议的)草案
prototype ['prəutətaip] n.原型；典型
protract ['prɔtrækt] v.(贬)延长，拖长
protuberance [prə'tju:bərəns] n.凸出，隆起
protuberant [prə'tju:bərənt] a.凸出的，隆起的
provenance ['prɔvinəns] n.(艺术等的)出处，起源
provender ['prɔvində] n.(牛马吃的)草料，粮秣
provident ['prɔvidənt] a.深谋远虑的；节俭的
providential [prɔvi'denʃəl] a.幸运的；(时机)恰到好处的
provincial [prə'vinʃəl] a.(贬)偏狭的，守旧的，过时的
provision [prə'viʒən] n.(粮食)供应；(法律等)条款
provisional [prə'viʒənl] a.暂时的，临时的
provisory [prə'vaizəri] a.有附带条件的
provocation [,prɔvə'keiʃən] n.挑衅，激怒
prowess ['prauis] n.勇敢；不凡的能力
prowl [praul] v.潜行于，偷偷地漫游
proximate ['prɔksimit] a.(时间、次序)最接近的，直接的
prude [pru:d] n.(贬)过分守礼拘谨的人
prudence ['pru:dəns] n.谨慎，小心
prudent ['pru:dənt] a.审慎的，三思而后行的；判断力强的，精明的；节俭的
prudish ['pru:diʃ] a.过分守礼拘谨的，假道学的
prune [pru:n] n.梅干；v.修剪
pry [prai] v.刺探，打听；撬开
pseudonym ['sju:dənim] n.假名，笔名
psyche ['saiki] n.心智，精神
psychology [sai'kɔlədʒi] n.心理学，心理状态
publicize ['pʌblisaiz] v.宣传，引人注意
pucker ['pʌkə] v.起皱；n.皱褶
puckish ['pʌkiʃ] a.淘气的，恶作剧的
puddle ['pʌdl] n.水坑，洼
puerile ['pjuərail] a.幼稚的；儿童的
pugilism ['pju:dʒilizəm] n.拳击，搏击
pugilist ['pju:dʒilist] n.拳击手，拳师
pugnacious [pʌɡ'neiʃəs] a.好斗的
puissance ['pju(:)isns] n.权力
puissant ['pju:isənt] a.强有力的，强大的
pulchritude ['pʌlkritju:d] n.美丽
pullet ['pulit] n.小母鸡
pulley ['puli] n.滑轮；滑车
pulp [pʌlp] n.果肉酱；纸浆
pulse [pʌls] v.搏动，跳动；n.脉搏；脉冲
pulverize ['pʌlvəraiz] v.压成细粉；彻底击败
pun [pʌn] n.双关语
punch [pʌntʃ] v.以拳猛击；打洞
punctilious [pʌŋk'tiliəs] a.谨慎的，一丝不苟的
puncture ['pʌŋktʃə] v.刺穿，刺破；n.刺孔，穿孔
pundit ['pʌndit] n.权威人士，专家
pungent ['pʌndʒənt] a.味道刺激的；苛刻的
puny ['pju:ni] a.弱小的，发育不良的
purchase ['pə:tʃəs] n.支点(阻止东西下滑)
purgative ['pə:ɡətiv] n.泻药
purgatory ['pə:ɡətəri] n.(天主教教义中的)炼狱；受苦受难的地方
purge [pə:dʒ] v.清洗，清除(政敌)；净化心灵，洗涤罪恶
purify ['pjuərifai] v.使洁净，净化
purity ['pjuriti] n.纯洁，纯净；纯度
purlieu ['pə:lju:] n.(常作复数)邻近地区
purloin [pə:'lɔin] v.偷窃
purported [pə:'pɔ:tid] a.谣传的，声张的，号称的
pursue [pə'sju:] v.追赶，追求，追踪
purvey [pə:'vei] v.(大量)供给，供应(尤指粮食)
pusillanimous [pju:si'læniməs] a.胆小的
pylon ['pailən] n.高压电线架；桥塔
pyre [paiə] n.火葬用的柴堆
quack [kwæk] n.冒充内行之人；庸医
quaff [kwɑ:f, kwɔf] v.痛饮，畅饮
quail [kweil] v.畏惧，颤抖
quaint [kweint] a.离奇有趣的
qualified ['kwɔlifaid] a.有资格的；有限制的
qualms [kwɑ:mz] n.疑虑(尤指有关良心问题的)
quandary ['kwɔndəri] n.困惑，进退两难
quantum ['kwɑntəm] n.量子；定量
quarantine ['kwɔrənti:n] n.(为防传染疾病的)隔离检疫期，隔离
quarry ['kwɔri] n.猎物
quartet [kwɔ:'tet] n.四重奏，四重唱
quash [kwɔʃ] v.镇压；(依法)取消
quaver ['kweivə] v.发颤音，声音颤抖；n.颤音
quay [ki:] n.码头
quell [kwel] v.制止，镇压
quench [kwentʃ] v.熄灭(火)；抑制(欲望，情感)
querulous ['kweruləs] a.抱怨的，多牢骚的
quest [kwest] v.搜寻，探求；n.探求
queue [kju:] v.排队；n.长队
quibble ['kwibl] n.遁词，回避正题的话；吹毛求疵的反对意见
quiescent [kwai'esənt] a.不动的，静止的
quill [kwil] n.(豪猪等动物的)刺
quirk [kwə:k] n.巧合；怪癖
quisling ['kwizliŋ] n.卖国贼，内奸
quiver ['kwivə] n.箭筒，箭囊；n.&v.颤动
quixotic [kwik'sɔtik] a.不切实际的，空想的
quota ['kwəutə] n.定额，配额
quote [kwəut] v.引用，引述
quotidian [kwəu'tidiən] a.每日发生的；平凡的，普通的
rabble ['ræbl] n.乌合之众，暴民；下等人
rabid ['ræbid] a.患狂犬病的；失去理性的，极端的，疯狂的
rabies ['reibi:z] n.狂犬病；恐水病
raconteur [rækɔn'tə:] n.善于讲故事的人
racy ['reisi] a.活泼的，生动的
radius ['reidjəs] n.半径
raffish ['ræfiʃ] a.粗俗的；俗艳的，华而不实的
raffle ['ræfl] n.(尤指为公益事业举办的)抽奖售物(活动)
rafter ['rɑ:ftə] n.椽子(支撑屋顶的平行横梁)；放伐人
rag [ræɡ] n.旧布，碎布；破旧衣服
rage [reidʒ] n.盛怒；v.激怒
ragged ['ræɡid] a.破烂的
ragtime ['ræɡtaim] n.拉格泰姆音乐(黑人爵士乐)；a.使人发笑的，滑稽的
raid [reid] n.突然袭击
rail [reil] n.栏杆，护栏；铁轨；v.咒骂，猛烈指责
raisin ['reizn] n.葡萄干
rakish ['reikiʃ] a.潇洒的；放荡的，不拘俗套的
rally ['ræli] v.召集，集会；n.召集；集会
ram [ræm] n.公羊；撞锤；填塞，活塞
ramble ['ræmbl] n./v.漫步
rambunctious [ræm'bʌŋkʃəs] a.骚乱的；(兴奋)控制不了的
ramify ['ræmifai] v.使分支，使分叉
rampage ['ræmpeidʒ] v.狂暴地乱冲；n.暴怒，暴行
rampant ['ræmpənt] a.(罪恶，疾病)猖獗的，难以遏制的
rampart ['ræmpɑ:t] n.壁垒；城墙
ramshackle ['ræm,ʃækl] a.(房屋，车辆)破旧不堪的
rancid ['rænsid] a.不新鲜的，变质变味的
rancor ['ræŋkə(r)] n.深仇，怨恨
random ['rændəm] a.没有明确目的、计划或者目标的；随机的
ranger ['reindʒə] n.森林管理员；巡逻骑警
rankle ['ræŋkl] v.使怨恨；激怒
ransom ['rænsəm] n.赎金；赎身；v.赎回
rant [rænt] v.咆哮，强烈指责；口出狂言
rapacious [rə'peiʃəs] a.强夺的，抢劫的；贪婪的(尤指财物)
rapids ['ræpidz] n.(河的)急流，湍流
rapport [ræ'pɔ:t] n.和睦，意见一致，融洽和谐关系
rapprochement [ræ'prɔʃmɔŋ] n.和好，友好关系的恢复(尤指国家间)
rapt [ræpt] a.专心致志的，全神贯注的
rarefaction [,reəri'fækʃən] n.稀薄
raspy ['ra:spi] a.(声音)刺耳的；恼人的
ratification [,rætifi'keiʃən] n.正式批准
ratiocination [,rætiɔsi'neiʃən] n.推理；推论
ration ['ræʃən] n.(尤指食物短缺时)定量配给；v.(按定量)配给
rational ['ræʃənl] a.理性的；合理的
rattle ['rætl] v.使格格作响；使慌乱
raucous ['rɔ:kəs] a.(声音)沙哑的，粗糙的
