insomnia [in'sɔmniə] n.失眠症
minutia [mai'nju:ʃiə] n.细枝末节，细节
miracle ['mirəkl] n.奇事，奇迹
mirage ['mirɑ:ʒ] n.幻影，海市蜃楼
mire ['maiə] n.泥沼；困境；v.使„陷入困境
mirth [mə:θ] n.欢乐，欢笑
misanthrope ['misənθrəup] n.愤世嫉俗者
mischievous ['mistʃivəs] a.淘气的，顽皮的，爱胡闹的；有害处的
miscreant ['miskriənt] n.恶棍，歹徒
miser ['maizə] n.守财奴，吝啬鬼
miserly ['maizəli] a.吝啬的，贪婪的
misgiving [mis'ɡiviŋ] n.担心，疑虑
misinform ['misin'fɔ:m] v.向„提供错误信息
misnomer ['mis'nəumə] n.名字的误用
misperceive [,mispə'si:v] v.误解
misrepresent ['mis,repri'zent] v.误传，歪曲
misshapen [mis'ʃeipən] a.畸形的，奇形怪状的
missile ['misail] n.发射物，投掷物；导弹
mite [mait] n.极小量；小虫，螨虫
mitigate ['mitiɡeit] v.减轻，缓和
mitten ['mitn] n.(四指套在一起拇指分开的)连指手套
mnemonics [ni:'mɔniks] n.记忆法，记忆规则
moan [məun] v./n.(痛苦地/的)呻吟；(不满地/的)抱怨
moat [məut] n.壕沟；护城河
mobile ['məubail] a.易于移动的
mobility [məu'biliti] n.可动性，流动性
mock [mɔk] v.嘲笑；模仿地嘲弄
mode [məud] n.(衣着、艺术的)样式，时尚；模式
modest ['mɔdist] a.谦虚的，谨慎的；（数量、体积等）适度的
modicum ['mɔdikəm] n.少量
modify ['mɔdifai] v.修改，变更
modish ['məudiʃ] a.时髦的
modulate ['mɔdjuleit] v.调整(音的强弱)
mogul ['məuɡl] n.显要人物，权势之人
molar ['məulə] n.臼齿(靠里面的用于咬硬物的大牙齿)
mold [məuld] n.模子；(美)霉菌；v.塑造
molding ['məuldiŋ] n.装饰线条；用模子制作的铸造物
moldy ['məuldi] a.发霉的
molecule ['mɔlikju:l] n.分子
mollify ['mɔlifai] v.使息怒，使平静，安抚
mollycoddle ['mɔlikɔdl] v.过分爱惜，娇惯；n.娇生惯养的人
molt [məult] v.换羽，脱毛；n.换羽(期)，脱毛(期)
molten ['məultən] v.熔化；a.熔化的
moment ['məumənt] n.瞬间；重要；(物)力矩
momentous [məu'mentəs] a.极重要的，严重的
momentum [məu'mentəm] n.推进力，势头；(物)动量
monarch ['mɔnək] n.君主，帝王
monarchy ['mɔnəki] n.君主制
monetary ['mʌnitəri] a.货币的
mongrel ['mʌŋɡrəl] n.杂种动物；混血儿
monochromatic ['mɔnəukrəu'mætik] a.单色的
monochrome ['mɔnəukrəum] a.单色的，单色画的
monocle ['mɔnɔkl] n.单片眼镜
monogamy [mɔ'nɔɡəmi] n.一夫一妻制
monolithic [,mɔnə'liθik] a.整块巨石的；巨大的
monologue ['mɔnəlɔɡ] n.(电影、戏剧中的)独白；个人长篇演说
monomania [,mɔnəu'meinjə] n.偏狂症，狂热病(为单一想法、事物而狂热的病)
monopoly [mə'nɔpəli] n.专利权，垄断
monotonous [mə'nɔtənəs] a.单调的，无聊的
monotony [mə'nɔtəni] n.单调，千篇一律
monsoon [mɔn'su:n] n.季雨，季风
montage [mɔn'tɑ:ʒ] n.蒙太奇(由许多部分组合而成的画面、影片、音乐或文字)；拼集画
monumental [,mɔnju'mentl] a.极大的；纪念碑的
morale [mɔ'rɑ:l] n.士气，精神力量
moralistic [mɔrə'listik] a.(贬)道学气的，道德说教的
moratorium [,mɔrə'tɔ:riəm] n.(经官方同意的)停止偿付；暂停活动
morbid ['mɔ:bid] a.病态的，不正常的
mordant ['mɔ:dənt] a.讥讽的，尖酸的
mores ['mɔ:ri:z] n.风俗习惯，道德观念
moribund ['mɔ(:)ribʌnd] a.即将结束的；垂死的
morose [mə'rəus] a.阴郁的，闷闷不乐的
morsel ['mɔ:səl] n.一小块(食物)；小量
mortality [mɔ:'tæliti] n.死亡率
mortar ['mɔ:tə] n.乳钵；迫击炮
mortgage ['mɔ:ɡidʒ] n.抵押贷款；抵押证书；v.用„作抵押
mortification ['mɔ:tifi'keiʃən] n.耻辱，屈辱
mortify ['mɔ:tifai] v.使屈辱，使痛心
mortuary ['mɔ:tjuəri] n.停尸间，太平间
mosaic [mɔ'zeiik] n.马赛克(把不同颜色的小块玻璃石头等镶嵌成图画)
mosque [mɔsk] n.清真寺(伊斯兰教的寺庙)
mosquito [məs'ki:təu] n.蚊子
mote [məut] n.微粒，微尘
motif [məu'ti:f] n.(作品)主题，主旨
motility [məu'tiliti] n.运动性，游动性
motley ['mɔtli] a.混杂的；杂色的
mottled ['mɔtld] a.有杂色的，斑驳的
motto ['mɔtəu] n.座右铭；格言
mountainous ['mauntinəs] a.多山的；巨大的
mourn [mɔ:n] v.哀悼，哀伤
mournful ['mɔ:nful] a.悲伤的
movement ['mu:vmənt] n.(交响乐)乐章
muffle ['mʌfl] v.使声音降低；裹住
muffled ['mʌfld] a.(声音)压低的
muffler ['mʌflə] n.消音器；围巾
mulish ['mju:liʃ] a.骡一样的，执拗的，顽固的
multiple ['mʌltipl] a.多样的，多重的
multiplicity [,mʌlti'plisiti] n.多样性
multiply ['mʌltipli] v.乘；大量增加；繁殖
mumble ['mʌmbl] v.咕哝，含糊不清地说
mundane ['mʌndein] a.平凡的，世俗的
municipality [mju:,nisi'pæliti] n.自治市；市政当局(指城市行政区及管理者)
munificence [mju:'nifisəns] n.慷慨，礼物的丰厚
munition [mju:'niʃən] n.军火，弹药
mural ['mjuərəl] a.墙壁的；n.(尤指大型)壁画
murky ['mə:ki] a.黑暗的；朦胧的
murmur ['mə:mə] v.低声地说，喃喃而言
muscle ['mʌsl] n.肌肉；肌肉的力量
muscular ['mʌskjulə] a.肌肉的；强健的
muse [mju:z] v.沉思，冥想
mushroom ['mʌʃrum] n.蘑菇；v.雨后春笋般迅速发展
musicologist [,mju:zik'kɔlədʒist] n.音乐学者
musket ['mʌskit] n.旧式步枪，毛瑟枪
muster ['mʌstə] v.召集，聚集
mutate [mju:'teit] v.（生）变异
mute [mju:t] a.沉默的；v.减弱声音；n.(乐器的)弱音器
muted ['mju:tid] a.(声音)减弱的，变得轻柔的
mutineer [,mju:ti'niə] n.反叛者，背叛者
mutter ['mʌtə] v.小声咕哝，嘀咕
myopia [mai'əupiə] n.(医)近视；缺乏远见
myopic [mai'ɔpik] a.近视眼的；缺乏远见的
myriad ['miriəd] a.极大量的，无数的
mystic ['mistik] a.(尤指宗教方面)神秘的，不可思议的；n.神秘主义者(寻求人神交融以求人类不解之真理者)
nadir ['neidiə] n.最低点
nag [næɡ] v.(贬)不断挑剔或批评某人；不断烦扰或伤害某人
naive [nɑ:'i:v] a.天真的，纯朴的
narcissism ['nɑ: sisizəm] n.自恋，自爱，自我陶醉
narcissist ['nɑ:sisist] n.自负的人，自恋者
narcotic [nɑ:'kɔtik] n.催眠或麻醉药；a.催眠的，麻醉的
narrative ['nerətiv] a.叙述的，讲故事的
nascent ['næsnt] a.初生的，萌芽的
natal ['neitəl] a.出生时的，诞生时的，先天的
natty ['næti] a.整洁漂亮的；灵巧聪明的
nausea ['nɔ:sjə] n.作呕，恶心
nauseate ['nɔ:sieit] v.使作呕，使厌恶
nautical ['nɔ:tikəl] a.船员的，航海的
navigate ['næviɡeit] v.航海，导航
naysay ['neisei] v.拒绝，说不
nebulous ['nebjuləs] a.模糊不清的；云状的
needle ['ni:dl] n.针；针叶
needlework ['ni:d(ə)lwə:k] n.缝纫，刺绣
needy ['ni:di] a.贫穷的
nefarious [ni'feəriəs] a.违法的，邪恶的
negate [ni'ɡeit] v.取消，使无效；否认
negation [ni'ɡeiʃən] n.否定，拒绝
negligence ['neɡlidʒəns] n.粗心，疏忽
negotiable [ni'ɡəuʃjəbl] a.可商量的
negotiate [ni'ɡəuʃieit] v.商议，谈判，交涉
neolithic [ni:əu'liθik] a.新石器时代的
neologism [ni:'ɔlədʒiz(ə)m] n.新字，新词
neophyte ['ni(:)əufait] n.初学者，新手
nepotism ['nepətizəm] n.裙带关系(给亲属以特别优待，开小灶)
nerve [nə:v] n.勇气；神经；v.给予力量或勇气
nettle ['netl] n.荨麻；v.烦忧，激恼
neurology [njuə'rɔlədʒi] n.神经学
neutralize ['nju:trəlaiz] v.使无效；中和
neutron ['nju:trɔn] n.中子
nexus ['neksəs] n.(看法等的)联系，连结
nib [nib] n.钢笔尖
nibble ['nibl] v.一点点地咬，慢慢啃
nice [nais] a.精密的
nicety ['naisiti] n.准确，精确
nick [nik] n.小伤口，刻痕
nicotine ['nikəti:n] n.尼古丁
nightmare ['naitmeə(r)] n.恶梦；可怕的事
nil [nil] n.无，零
nip [nip] v.小口啜饮
nitpick ['nitpik] v.挑剔小细节，吹毛求疵
nocturnal [nɔk'tə:nl] a.夜晚的，夜间发生的
noisome ['nɔisəm] a.恶臭的；令人不快的
nomad ['nəumæd] n.流浪者；游牧部落的人
nomadic [nəu'mædik] a.游牧的
nominal ['nɔminl] a.仅仅名义上的，有名无实的
nominate ['nɔmineit] v.提名；任命，指定
nonchalance ['nɔnʃələns] n.冷漠，不感兴趣，缺少关怀；沉着
nonchalant ['nɔnʃələnt] a.冷漠的，不感兴趣的；沉着的
noncommittal ['nɔn'kɔmitəl] a.态度不表明的；不承担义务的
nonconformist ['nɔnkən'fɔmist] adj./n.不遵照传统生活的(人)
nonentity [nɔ'nentiti] n.不重要之人或事
nonflammable ['nɔn'flæməbl] a.不易燃的
nonplus ['nɔn'plʌs] v.使窘困迷惑；n.迷惑，窘境
nonporous ['nɔn'pɔ:rəs] a.无孔的，不渗透的
nonradioactive ['nɔnreidiə'æktiv] a.非放射性的
nonsensical [nɔn'sensikəl] a.荒唐的，无意义的
nonthreatening [,nɔn'θretəniŋ] a.不威胁的
nonviable ['nɔn'vaiəbl] a.无法生存的
norm [nɔ:m] n.规范，准则
nostalgia [nɔs'tældʒiə] n.怀旧之情
nostrum ['nɔstrəm] n.骗人的药、疗法；万灵丹，妙策
notable ['nəutəbl] a.明显的，出众的，重要的
notch [nɔtʃ] n.V字形刻痕
notorious [nəu'tɔ:riəs] a.臭名昭著的
nourish ['nʌriʃ] v.养，滋养；怀有(希望等)
nova ['nəuvə] n.新星(短时间内亮度突然大幅增加，而后回归初始亮度的星星)
novelty ['nɔvəlti] n.新奇(的事物)
novice ['nɔvis] n.生手，新手
noxious ['nɔkʃəs] a.有害的，有毒的
nuance [nju:'ɑ:ns] n.细微的差异
nubile ['nju:bail] a.(女孩)到婚嫁年龄的；性感的，吸引人的
nucleate ['njuklieit] v.使成核；a.有核的
nucleus ['nju:kliəs] n.(原子)核
nudge [nʌdʒ] v.(用肘)轻触，轻推
nugatory ['nju:ɡətəri] a.无价值的，琐碎的
nullify ['nʌlifai] v.使无效，取消
numb [nʌm] a.麻木的
numerous ['nju:mərəs] a.许多的，很多的
numismatist [nju:'mizmətist] n.钱币学家，钱币收藏家
nurture ['nə:tʃə] v.抚育，给„营养物，教养；n.养育，营养物；(总称)环境因素
nutrient ['nju:triənt] n.滋养物质
nutrition [nju:'triʃən] n.营养；营养学
oafishness ['əufiʃnis] n.痴呆
oak [əuk] n.橡树
oasis [əu'eisis] n.绿洲
oath ['əuθ] n.誓言；咒骂
obdurate ['ɔbdjurit] a.固执的，顽固的
obedient [ə'bi:djənt] a.服从的，顺从的
obeisance [əu'beisns] n.鞠躬，敬礼(表示尊敬或服从)
obese [əu'bi:s] a.极肥胖的
obfuscate ['ɔbfʌskeit] v.使困惑，使迷惑
obituary [ə'bitjuəri] n.讣闻，讣告
objection [əb'dʒekʃən] n.厌恶；反对
objective [əb'dʒektiv] a.客观的；n.目标
obligation [,ɔbli'ɡeiʃən] n.责任；报恩，欠的人情
obligatory [ɔ'bliɡətəri] a.强制性的
oblige [ə'blaidʒ] v.束缚，强迫；为„效力
obliging [ə'blaidʒiŋ] a.恳切的，热心助人的
oblique [ə'bli:k] a.间接的；斜的
obliterate [ə'blitəreit] v.涂掉，擦掉
oblivious [ə'bliviəs] a.遗忘的，疏忽的，未察觉的
