foible ['fɔibl] n.小缺点，小毛病
impalpable [im'pælpəbl] a.无法触及的；不易理解的
impart [im'pɑ:t] v.传授，告知
impartial [im'pɑ:ʃəl] a.公平的，无私的
impasse [æm'pɑ:s] n.僵局；死路
impassioned [im'pæʃ(ə)nd] a.慷慨激昂的
impassive [im'pæsiv] a.无动于衷的，冷漠的
impeach [im'pi:tʃ] v.怀疑，提出异议；弹劾
impeccable [im'pekəbl] a.无瑕疵的，无错误的
impecunious [,impi'kju:njəs] a.不名一文的，贫困的
impede [im'pi:d] v.妨碍
impediment [im'pedimənt] n.妨碍，阻碍物
impel [im'pel] v.推进；驱使
impending [im'pendiŋ] a.行将发生的，逼近的
impenetrable [im'penitrəbl] a.不能穿透的；不可理解的
impenitent [im'penitənt] a.不悔悟的
imperative [im'perətiv] a.急需的
imperial [im'piəriəl] a.帝王的，至尊的
imperious [im'piəriəs] a.傲慢的，专横的
impermanent [im'pə:mənənt] a.暂时的
impermeability [im,pə:miə'biləti] n.不能渗透（液体）
impermeable [im'pə:mjəbl] a.不容液体渗透的，液体透不过的
impersonate [im'pə:səneit] v.模仿；扮演
impertinence [im'pə:tinəns] n.无礼，粗鲁
imperturbable [,impə(:)'tə:bəbl] a.冷静的，沉着的
impervious [im'pə:vjəs] a.（液体、气体）不能渗透的；不为所动的
impetuous [im'petjuəs] a.冲动的，鲁莽的
impetus ['impitəs] n.(物)推动力；推动，刺激
impinge [im'pindʒ] v.侵犯；撞击
implant [im'plɑ:nt] v.注入，植入；灌输（思想）
implausible [im'plɔ:zəbl] a.难以置信的
implement ['implimənt] n.工具，器具；v.实现，实施
implicate ['implikeit] v.牵连(于罪行中)；暗示
implication [,impli'keiʃən] n.暗示
implicit [im'plisit] a.含蓄的，不言而喻的
implode [im'pləud] v.内爆，向心聚爆；剧减
implore [im'plɔ:] v.哀求，恳求
impolitic [im'pɔlitik] a.不智的，失策的
imponderable [im'pɔndərəbl] a.(重量等)无法衡量的，不可估量的
import [im'pɔ:t, 'impɔ:t] n./v.进口，输入；意义，重要性
importune [im'pɔ:tju:n] v.（尤指令人厌烦的地）强求，不断请求
impose [im'pəuz] v.征税；强加
imposing [im'pəuziŋ] a.壮丽的，雄伟的
impostor [im'pɔstə] n.冒充者，骗子
imposture [im'pɔstʃə] n.冒充
impoverish [im'pɔvəriʃ] v.使成赤贫
imprecise [,impri'sais] a.不精确的，不严密的
impregnable [im'preɡnəbl] a.攻不破的，征服不了的
impresario [,impre'sɑ:riəu] n.(剧院或乐团等)经理人，主办者
impressed [im'prest] a.被打动的；被感动的
impression [im'preʃən] n.印象，感想；盖印的压痕
impressionable [im'preʃənəb(ə)l] a.易受影响的
imprint [im'print] v.盖印，刻印
impromptu [im'prɔmptju:] a.即席的，即兴的
improvident [im'prɔvidənt] a.无远见的；不节俭的，浪费的
improvise ['imprəvaiz] v.即席而作
improvised ['imprəvaizd] a.临时准备的，即席而作的
imprudent [im'pru:dənt] a.轻率的，不谨慎的，不智的
impudent ['impjudənt] a.鲁莽的，无礼的
impugn [im'pju:n] v.对„表示怀疑
impuissance [im'pju(:)isns] n.无力，虚弱
impulse ['impʌls] n.冲动；推动，刺激
impulsive [im'pʌlsiv] a.易冲动的
impunity [im'pju:niti] n.免除惩罚
inadvertence [,inəd'və:təns] n.漫不经心
inadvertently [,inəd'və:təntli] adv.不小心地，非故意地，无意地
inalienable [in'eiljənəbl] a.不可剥夺的，不能让与的
inane [i'nein] a.无意义的；空洞的
inanimate [in'ænimit] a.无生命的
inappreciable [,inə'pri:ʃəbl] a.微不足道的
inaugural [i'nɔ:ɡjurəl] a.就职的，开幕的
inaugurate [i'nɔ:ɡjureit] v.举行就职典礼；开创
inborn ['in'bɔ:n] a.天生的，天赋的
incandescence [,inkæn'desəns] n.白炽，炽热发光
incantation [,inkæn'teiʃən] n.咒语
incarcerate [in'kɑ:səreit] v.使下狱，监禁
incarnate ['inkɑ:neit] a.具有肉体的；化身的
incendiary [in'sendjəri] a.放火的，纵火的
incense ['insens,in'sens] n.香，香味；v.激怒
incentive [in'sentiv] n.刺激，鼓励；刺激因素
inception [in'sepʃən] n.开端，开始；取得学位
incessant [in'sesnt] a.无间断的，连续的
inch [intʃ] v.慢慢前进，慢慢移动
inchoate ['inkəueit] a.刚开始的，未发展的
incidence ['insidəns] n.事情发生；发生率
incinerate [in'sinəreit] v.焚化
incipient [in'sipiənt] a.初期的，刚出现的
incise [in'saiz] v.切，切割
incision [in'siʒən] n.切口；切割
incisive [in'saisiv] a.一针见血的
incite [in'sait] v.激发，刺激
inclement [in'klemənt] a.(天气)严酷的；严厉的
inclusive [in'klu:siv] a.包含一切的，范围广的
incogitant [in'kɔdʒitənt] a.无思想的，考虑不周的
incommensurate [,inkə'menʃərit] a.不成比例的，不相称的
incompatible [,inkəm'pætəbl] a.不能和谐共存的
incompetent [in'kɔmpitənt] a.无能力的，不能胜任的
incongruity [,inkɔŋ'ɡru(:)iti] n.不协调，不相称
inconsequential [in,kɔnsi'kwenʃəl] a.不重要的，微不足道的
inconstancy [in'kɔnstənsi] n.(指人)反复无常
incontrovertible [,inkɔntrə'və:təbl] a.无可辩驳的
incorporate [in'kɔ:pəreit] v.合并，并入
incorrigibility [in,kɔridʒə'biliti] n.无可救药，难以修正
incorrigible [in'kɔridʒəbl] a.积习难改的，不可救药的
incorruptible [,inkə'rʌptəbl] a.(道德上)不受腐蚀的
incredulity [,inkri'dju:liti] n.怀疑，不相信
increment ['inkrimənt] n.增值，增加
incriminate [in'krimi,neit] v.连累，牵连，使显得有罪
incubate ['inkjubeit] v.孵化；潜伏
incubation [,inkju'beiʃən] n.孵卵期；潜伏期
incubator ['inkjubeitə] n.孵卵器；早产婴儿保育箱
incubus ['iŋkjubʌs] n.恶梦；梦魇般的精神压力，负担
inculcate [in'kʌlkeit] v.灌输，谆谆教诲
inculpate ['inkʌlpeit] v.连累；控告
incumbent [in'kʌmbənt] n.在职者，现任者；a.义不容辞的
incur [in'kə:] v.招致，引起
indebted [in'detid] a.感激的，感恩的
indecipherable [,indi'saifərəbl] a.无法破译的
indecisive [,indi'saisiv] a.非决定性的，非最终的；迟疑不决的
indefatigable [,indi'fætiɡəbl] a.不知疲倦的
indelible [in'delibl] a.擦拭不掉的，不可磨灭的
indemnify [in'demnifai] v.赔偿，偿付
indemnity [in'demniti] n.赔偿；(为防损失或伤害的)保证，保险
indent [in'dent] v.切割成锯齿状
indenture [in'dentʃə] n.契约，合同
indeterminate [,indi'tə:minit] a.不确定的，不明确的
indicate ['indikeit] v.显示，指出；象征
indicative [in'dikətiv] a.暗示的
indices ['indisi:z] n.指数(index的复数)
indict [in'dait] v.控诉，起诉
indifferent [in'difərənt] a.不感兴趣的，漠不关心的
indigence ['indidʒəns] n.贫穷
indigenous [in'didʒinəs] a.土产的，本地的
indigent ['indidʒənt] a.贫穷的，贫困的
indignant [in'diɡnənt] a.愤慨的，愤愤不平的
indignation [,indiɡ'neiʃən] n.愤慨
indignity [in'diɡniti] n.侮辱，轻蔑；侮辱性的言行
indispensability ['indis,pensə'biləti] n.不可缺少
individual [,indi'vidjuəl] a.单独的，特有的；n.个人，个体
indoctrinate [in'dɔktrineit] v.教导；灌输思想
indolent ['indələnt] a.懒惰的
indubitable [in'dju:bitəbl] a.不容置疑的
induce [in'dju:s] v.诱导；引起
induct [in'dʌkt] v.使就职；使入伍
induction [in'dʌkʃən] n.就职，入伍仪式；归纳
indulge [in'dʌldʒ] v.(贬)放纵；满足(不当或不应有的欲望)
indurate ['indjuəreit] v.使坚硬；使习惯于
industrious [in'dʌstriəs] a.勤劳的，勤勉的
ineffable [in'efəbl] a.妙不可言的，难用语言表达的
ineffectual [,ini'fektjuəl] a.无效的，徒劳无益的
inelasticity [,inilæs'tisiti] n.无弹性，无伸缩性
ineluctable [,ini'lʌktəbl] a.不可避免的，难免的
inept [i'nept] a.无能的；不适当的
ineptitude [i'neptitju:d] n.无能，不称职
inequity [in'ekwiti] n.不公正，不公平
inert [i'nə:t] a.惰性的；行动迟钝的
inertia [i'nə:ʃjə] n.惰性；懒惰
inexhaustible [,iniɡ'zɔ:stəbl] a.用不完的，取之不竭的
inexorable [in'eksərəbl] a.不为所动的，无情的；坚决不变的
inexplicable [in'eksplikəbl] a.无法解释的
infant ['infənt] n.婴儿
infantile ['infəntail] a.(贬)幼稚的，孩子气的(尤指大孩子或成人)
infantry ['infəntri] n.步兵
infatuation [in,fætju'eiʃən] n.迷恋
infection [in'fekʃən] n.传染，感染
infelicitous [,infi'lisitəs] a.不幸的；不妥当的
infelicity [,infi'lisiti] n.不幸；不恰当
infer [in'fə:] v.推断，推定
inferior [in'fiəriə] a.下级的，低等的，质次的，较差的
inferno [in'fə:nəu] n.火海，地狱般的场所
infest [in'fest] v.(害虫)大批出没以扰乱
infiltrate [in'filtreit] v.渗透，渗入
infinitesimal [in,finə'tesiməl] a.极微小的；n.极小量
infinity [in'finiti] n.无限的时间或空间
infirm [in'fə:m] a.虚弱的
inflame [in'fleim] v.使燃烧；激怒(某人)
inflamed [in'fleimd] a.发炎的
inflammation [,inflə'meiʃən] n.激怒；炽热；炎症
inflate [in'fleit] v.使充气，使膨胀
inflict [in'flikt] v.使遭受(打击，惩罚等)
influx ['inflʌks] n.(人或物的)注入，涌入
informed [in'fɔ:md] a.见多识广的；消息灵通的
infraction [in'frækʃən] n.违法
infringe [in'frindʒ] v.违反，侵害(法规，协议)
infuriate [in'fjuərieit] v.使(人)极为愤怒
infuse [in'fju:z] v.灌输；鼓励
ingenious [in'dʒi:njəs] a.聪明的，有发明天才的
ingénue [ænʒei'nju:] n.天真无邪的少女
ingenuity [,indʒi'nju:iti] n.巧思，聪敏
ingenuous [in'dʒenjuəs] a.纯朴的，单纯的，坦率的，天真的
ingest [in'dʒest] v.咽下，吞下
ingestion [in'dʒestʃən] n.摄取，吸收(食物)；容纳
ingrained [in'ɡreind] a.根深蒂固的，极难除掉的
ingrate [in'ɡreit] n.忘恩负义的人
ingratiate [in'ɡreiʃieit] v.逢迎，讨好
ingratiating [in'ɡreiʃieitiŋ] a.讨好的，谄媚的
ingredient [in'ɡri:diənt] n.成分
inhabit [in'hæbit] v.栖居于，占据
inhabitant [in'hæbitənt] n.居民；栖息的动物
inhale [in'heil] v.吸气
inherit [in'herit] v.继承
inhibit [in'hibit] v.抑制
inhibitor [in'hibitə(r)] n.抑制剂
inhumane [,inhju(:)'mein] a.不近人情的，残忍的
inimical [i'nimikl] a.敌意的，不友善的
inimitable [i'nimitəbl] a.无法仿效的，不可比拟的
iniquitous [i'nikwitəs] a.邪恶的，不公正的
iniquity [i'nikwiti] n.邪恶，不公正
initial [i'niʃəl] a.开始的，最初的；n.(姓名的)首字母
initiate [i'niʃieit] v.发起，创始；接纳或介绍某人加入某团体等
initiative [i'niʃiətiv] n.主动(权)，主动性
injection [in'dʒekʃən] n.注射；注射剂
injunction [in'dʒʌŋkʃən] n.命令，强制令
injurious [in'dʒuəriəs] a.有害的
inkling ['iŋkliŋ] n.暗示，迹象；略知，模糊概念
innate ['ineit] a.生来的，天赋的
innocence ['inəsns] n.无辜，清白
innocuous [i'nɔkjuəs] a.(行为，言论等)无害的
innovation [,inəu'veiʃən] n.创新，改革
innovative ['inəuveitiv] a.革新的
innuendo [,inju'endəu] n.含沙射影，暗讽
inoculate [i'nɔkjuleit] v.预防注射，打预防针
inordinate [in'ɔ:dinit] a.过度的，过分的
inquiry [in'kwaiəri] n.询问
inquisitive [in'kwizitiv] a.过分好问的；好奇的
inroad ['inrəud] n.突袭；消耗
insatiable [in'seiʃəbl] a.不能满足的，贪心的
inscribe [in'skraib] v.在某物上写，题(词，字)
inscrutable [in'skru:təbl] a.高深莫测的，不可理解的，神秘的
insecticide [in'sektisaid] n.杀虫剂
insensate [in'senseit] a.无感觉的；蠢笨的
insentient [in'senʃənt] a.无知觉的，无生命的
insert [in'sə:t] v.插入
insider [in'saidə(r)] n.局内人，圈内人
insidious [in'sidiəs] a.隐藏诡计的，暗中为害的
insignia [in'siɡniə] n.徽章，袖章
insincerity [,insin'seriti] n.伪善，不真诚
insinuate [in'sinjueit] v.暗指，暗示
insipid [in'sipid] a.乏味的，枯燥的
insolence ['insələns] n.傲慢，无礼
insolent ['insələnt] a.粗野的，无礼的
insoluble [in'sɔljubl] a.不溶解的；不能解决的
insolvency [in'sɔlvənsi] n.无力偿还；破产
