abandon [ə'bændən] v./n.放弃；放纵
beacon ['bi:kən] n.烽火；灯塔
beam [bi:m] n.(房屋等)大梁；光线
bearing ['beəriŋ] n.关系，意义；方位
beat [bi:t] v.心跳；搅拌
bedeck [bi'dek] v.装饰，修饰
bedlam ['bedləm] n.混乱，骚乱
befuddlement [bi'fʌdəlmənt] n.迷惑不解
begrudge [bi'ɡrʌdʒ] v.吝啬，勉强给
beholder [bi'həuldə(r)] n.目睹者，旁观者
behoove [bi'həuv] v.理应，有义务
belabor [bi'leibə] v.过分冗长地做或说；痛打
belated [bi'leitid] a.来得太迟的
beleaguer [bi'li:ɡə] v.围攻；骚扰
belie [bi'lai] v.掩饰；证明为假
belittle [bi'litl] v.轻视，贬抑
bellicose ['beləkəus] a.好战的，好斗的
belligerence [bi'lidʒərəns] n.交战；好战性，斗争性
bellwether ['bel,weðə] n.领导者，领头羊
bench [bentʃ] n.法官席；长凳
bend [bend] v.弯曲；屈服
benediction [beni'dikʃən] n.祝福；祈祷
benefactor ['benifæktə] n.行善者，捐助者
benevolent [bi'nevələnt] a.善心的，仁心的
benign [bi'nain] a.慈祥的
benison ['benizn] n.祝福，赐福
bent [bent] n.(天生)特长，爱好；a.弯曲的
bequeath [bi'kwi:ð] v. 遗赠
bequest [bi'kwest] n.遗产，遗赠物
berate [bi'reit] v.猛烈责骂
bereft [bi'reft] a.被剥夺的；缺少的
beset [bi'set] v.镶嵌；困扰
besiege [bi'si:dʒ] v.围攻，困扰
besmirch [bi'smə:tʃ] v.诽谤
bestial ['bestjəl] a.野兽的，残忍的
bestow [bi'stəu] v.给予，赐赠
betray [bi'trei] v.背叛；暴露
betroth [bi'trəuð] v.许配，和„订婚
beverage ['bevəridʒ] n.饮料
bewilder [bi'wildə] v.迷惑，混乱
bewildering [bi'wildəriŋ] a.令人迷惑的；费解的
bibliography [,bibli'ɔɡrəfi] n.文献学；参考书目
bibliophile ['bibliəufail] n.爱书者，藏书家
bicker ['bikə] v.为小事争吵
bid [bid] v.命令；出价，投标
bifurcate ['baifə:keit] v.分为两支，分叉
bigot ['biɡət] n.(宗教、政治等的)盲信者；心胸狭窄者
bile [bail] n.胆汁；愤怒
bilingual [bai'liŋɡwəl] a.(说)两种语言的
bilk [bilk] v.躲债；骗取
billowy ['biləui] a.如波浪般翻滚的
bin [bin] n.大箱子
biosphere ['baiəsfiə] n.生命层，生物圈
biped ['baiped] n.二足动物
bit [bit] n.钻头
bizarre [bi'zɑ:] a.奇异的，古怪的
blade [bleid] n.刀锋，刀口
blanch [blɑ:ntʃ] v.使变白；使(脸色)变苍白
bland [blænd] a.(人)情绪平稳的；(食物)无味的
blandishment ['blændiʃmənt] n.奉承，甘言劝诱
blasphemy ['blæsfimi] n.亵渎，渎神
blast [blɑ:st] n.一阵(大风)；冲击波；v.爆破；枯萎
blatant ['bleitənt] a.厚颜无耻的；显眼的；炫耀的
blazon ['bleizn] n.纹章，装饰；v.精确描绘
bleach [bli:tʃ] v.漂白
bleak [bli:k] a.寒冷的；阴沉的；阴郁的，暗淡的
blemish ['blemiʃ] v.损害；玷污；n.瑕疵，缺点
blight [blait] n.植物枯萎病；v.使„枯萎
blighted [blaitid] a.枯萎的；衰老的
bliss [blis] n.狂喜；福佑，天赐的福
blissful ['blisfuls] a.极幸福的
blithe [blaið] a.快乐的，无忧无虑的
blizzard ['blizəd] n.暴风雪
blockade [blɔ'keid] v./n.封锁
blockage ['blɔkidʒ] n.障碍物
blooming ['blu:miŋ] a.有花的；精力旺盛的
blotch [blɔtʃ] n.(皮肤上的)红斑点；(墨水等)大斑点
blowhard ['bləuhɑ:d] n.自吹自擂者
blue [blu:] a.忧伤的，沮丧的
blueprint ['blu:,print] n.蓝图；方案
blunder ['blʌndə] v.犯大错；笨拙地做；n.愚蠢之举
blunt [blʌnt] a.钝的；直率的；v.变钝
blur [blə:] n.模糊不清的事物；v.使„模糊
blurb [blə:b] n.简介；印在书籍封套上的推荐广告
blurt [blə:t] v.脱口而出
blush [blʌʃ] v.因某事物脸红；n.因羞愧等脸上泛出的红晕
bluster ['blʌstə] v.(指风)猛刮
blustering ['blʌstəriŋ] a.大吵大闹的
boast [bəust] v./n.自夸
bodyguard ['bɔdiɡɑ:d] n.保镖，侍卫
bog [bɔɡ] n.沼泽；v.使„陷入泥沼
boggle ['bɔɡl] v.畏缩不前；使退缩
bogus ['bəuɡəs] a.假装的，假的
boisterous ['bɔistərəs] a.喧闹的；猛烈的
bolster ['bəulstə] n.枕垫；v.支持，鼓励
bolt [bəult] v.急逃(to dash out; dart)；螺栓，门栓
bombast ['bɔmbæst] n.高调，夸大之辞
bombastic [bɔm'bæstik] a.夸夸其谈的
bondage ['bɔndidʒ] n.奴役，束缚
bonnet ['bɔnit] n.圆帽，扁平软帽
boom [bu:m] n.繁荣昌盛时期；v.发出深沉有回响的声音
boon [bu:n] n.恩惠，天赐福利
boor [buə] n.举止粗野的人；乡下人
boost [bu:st] v.往上推；增加，提高
bootless ['bu:tlis] a.无益处的；无用的
bore [bɔ:] v.钻孔；使厌烦；n.孔；令人厌烦的人
boredom ['bɔ:dəm] n.厌烦；令人厌烦的事物
boring ['bɔ:riŋ] a.无趣的，乏味的
botany ['bɔtəni] n.植物学
boulder ['bəuldə] n.巨砾
bouquet ['bu(:)kei] n.花束；芳香
bourgeois [bə'dʒɔis] a.中产阶级的；自私拜物的
bout [baut] n.一回合，一阵
boycott ['bɔikət] v.抵制(贸易)
brace [breis] v.使稳固，架稳；n.支撑物
bracelet ['breislit] n.手镯，臂镯
bracing ['breisiŋ] a.令人振奋的
bracket ['brækit] n.托架，支架
brag [bræɡ] v.吹嘘
braggadocio [bræɡə'dəuʃiəu] n.吹牛大王；大吹大擂
braggart ['bræɡət] n.吹牛者
braid [breid] n.穗子；发辫；v.编成辫子
brake [breik] n.刹车；v.减速，阻止
brand [brænd] n.商标；烙印；v.在某事物上打烙印
brandish ['brændiʃ] v.(威胁性地)挥舞
brash [bræʃ] a.性急的；无礼的
brassy ['bra:si] a.厚脸皮的，无礼的
brat [bræt] n.孩子；顽童
bravado [brə'vɑ:dəu] n.故作勇敢，虚张声势
bravura [brə'vjuərə] n.华美乐段；a.华美的；显示技巧的
brawl [brɔ:l] v./n.争吵，打架
brazen ['breizn] a.厚脸皮的
breach [bri:tʃ] n.裂缝，缺口；v.打破，裂开；违背
breadth [bredθ] n.宽度
breed [bri:d] v.繁殖；教养；n.品种，种类
bribe [braib] v.贿赂
bricklayer ['brikleiə(r)] n.砌砖盖房者，泥瓦匠
bridle ['braidl] n.马笼头，马缰；v.抑制，控制
brink [briŋk] n.(峭壁的)边沿，边缘
brisk [brisk] a.敏捷的，活泼的；清新健康的
bristle ['brisl] n.短而硬的毛发；v.(毛)竖起；发怒
brittle ['britl] a.易碎的，脆弱的
broach [brəutʃ] v.开瓶；提出(讨论)
brochure [brəu'ʃjuə] n.小册子，说明书
broker ['brəukə] n.经纪人
bromide ['brəumaid] n.平庸的人或话；溴化物
brood [bru:d] n.一窝幼鸟；v.孵蛋；冥想
brook [bruk] n.小河
browbeat ['braubi:t] v.欺侮；吓唬
bruise [bru:z] v.受伤，擦伤
bruit [bru:t] v.散布(谣言)
brunt [brʌnt] n.主要冲击力或影响，矛头
brusque [brʌsk] a.唐突的，鲁莽的
brutal ['bru:tl] a.残忍的；严酷的
brute [bru:t] n./a.野兽(的)；残忍的(人)
buck [bʌk] v.反对；n.雄鹿；雄兔
bucket ['bʌkit] n.圆桶
bucolic [bju:'kɔlik] a.乡村的；牧羊的
bud [bʌd] n.芽；花蕾
budge [bʌdʒ] v.移动一点儿；让步，改变立场
budget ['bʌdʒit] n.预算
buffoon [bʌ'fu:n] n.演出时的丑角；粗俗而愚蠢的人
bulb [bʌlb] n.植物的球茎；灯泡
bulge [bʌldʒ] n./v.膨胀，鼓起
bulk [bʌlk] n.体积；数量；大多数；大身躯
bully ['buli] v.以强欺弱，威胁；n.欺负别人者
bumptious ['bʌmpʃəs] a.傲慢的，自夸的
bungle ['bʌŋɡl] v.粗制滥造
buoy [bɔi] n.浮标；救生圈；v.鼓励
buoyant ['bɔiənt] a.有浮力的；快乐的
bureaucracy [bjuə'rɔkrəsi] n.官僚政治
burgeon ['bə:dʒ(ə)n] v.迅速成长，发展
burial ['beriəl] n.埋葬，埋藏
burlesque [bə:'lesk] n.讽刺或滑稽的戏剧
burnish ['bə:niʃ] v.擦亮，磨光
bust [bʌst] n.半身(雕)像
butt [bʌt] v.用头抵撞，顶撞；n.粗大的一端；烟蒂
buttress ['bʌtris] n.拱墙，拱壁；v.支持
byline ['bailain] n.(列作者名字的)报刊文章首行
byproduct ['bai,prɔdʌkt] n.副产品；副作用
bystander ['baistændə(r)] n.旁观者
Byzantine [bi'zæntain] a.像迷宫似的；难变更的
cabal [kə'bæl] n.政治阴谋小集团
cabinet ['kæbinit] n.橱柜；内阁
cache [kæʃ] n.贮藏处；v.将„藏于
cacophonous [kə'kɔfənəs] a.发音不和谐的，不协调的
cacophony [kæ'kɔfəni] n.难听的声音
cadet [kə'det] n.军校或警官学校的学生
cadge [kædʒ] v.乞讨；诈取，骗取
cajole [kə'dʒəul] v.(以甜言蜜语)哄骗
calamity [kə'læmiti] n.大灾祸，不幸之事
calcium ['kælsiəm] n.钙
calculated ['kælkjuleitid] a.蓄意的
calculating ['kælkjuleitiŋ] a.深谋远虑的，精明的
calculus ['kælkjuləs] n.微积分学；(医)结石
caldron ['kɔ:drən] n.(煮汤用的)大锅
calibrate ['kælibreit] v.量„口径；精确校准
calipers ['kælipəz] n.测径器，双脚规
calligraphy [kə'liɡrəfi] n.书法
callous ['kæləs] a.起老茧的，结硬块的；无情的
callow ['kæləu] a.(鸟)未生羽毛的；(人)未成熟的
calorie ['kæləri] n.卡路里；卡(热量单位)
calumniate [kə'lʌmnieit] v.诽谤，中伤
calumny ['kæləmni] n.诽谤，中伤
cameo ['kæmiəu] n.浮雕宝石；生动刻画；(演员)出演
camouflage ['kæmuflɑ:ʒ] n./v.掩饰，伪装
campaign [kæm'pein] n.战役；竞选活动
canary [kə'neəri] n.金丝雀；女歌星
candid ['kændid] a.率直的
candidacy ['kændidəsi] n.候选人的资格
candidate ['kændidit] n.候选人；参加考试的人
candor ['kændə] n.坦白，率直
cane [kein] n.拐杖
canine ['keinain] a.犬的，似犬的，犬科的
